id,time(utc timestamp),amount(usd),price,side
0,1617354000424000,608929000.0,60935.525030000004,Buy
225,1617354060299000,608578015.0000006,60900.40196105006,Buy
431,1617354120318000,608572085.0000007,60899.808545950065,Buy
607,1617354180146000,608514175.0,60894.01349225,Buy
776,1617354240253000,608254240.0,60868.001796799996,Buy
1017,1617354300042000,608430000.0,60885.5901,Buy
1264,1617354360003000,608143399.9999986,60856.91003799985,Buy
1551,1617354420028000,608224905.0000007,60865.06624335007,Buy
1761,1617354480273000,608354694.9999989,60878.05432864989,Buy
1903,1617354540203000,608345780.0000021,60877.162204600216,Buy
2024,1617354600098000,608585999.9999998,60901.20101999998,Buy
2151,1617354660416000,609019749.9999986,60944.606382499864,Buy
2324,1617354720684000,608805584.9999981,60923.17489094981,Buy
2522,1617354780094000,608254014.9999992,60867.97928104992,Buy
2677,1617354840790000,608164449.9999995,60859.01651149995,Buy
2930,1617354900097000,607419750.0,60784.49438250001,Buy
3165,1617354960395000,607603750.0,60802.9072625,Buy
3399,1617355020088000,608279924.9999994,60870.572094749936,Buy
3573,1617355080041000,607668400.0000001,60809.37678800001,Buy
3830,1617355140037000,607815110.0000018,60824.058057700175,Buy
3964,1617355200080000,607309755.0000006,60773.48718285006,Buy
4237,1617355260189000,606450000.0,60687.4515,Buy
4497,1617355320027000,607466000.000001,60789.1226200001,Buy
4717,1617355380690000,607388750.0,60781.3922125,Buy
4944,1617355440193000,607581250.0,60800.6556875,Buy
5200,1617355500488000,608320075.0000001,60874.58990525001,Buy
5333,1617355560027000,608264250.0000005,60869.003497500045,Buy
5652,1617355620296000,607634749.9999999,60806.00943249999,Buy
5904,1617355680031000,607959749.9999999,60838.53218249999,Buy
6110,1617355740099000,608204749.9999999,60863.04933249999,Buy
6257,1617355800122000,608338749.9999999,60876.458712499996,Buy
6431,1617355860673000,608433750.0,60885.9653625,Buy
6735,1617355920033000,608458175.0,60888.409572250006,Buy
6900,1617355981145000,608779720.0,60920.58658039999,Buy
7124,1617356040293000,608673755.0,60909.982662849994,Buy
7307,1617356100071000,609384000.0,60981.056880000004,Buy
7514,1617356160268000,609284000.0000001,60971.049880000006,Buy
7717,1617356220241000,609394854.9999995,60982.14313984995,Buy
7900,1617356280780000,609309000.0,60973.551629999994,Buy
8030,1617356340337000,609427804.9999988,60985.44044634988,Buy
8186,1617356400476000,609289945.0,60971.64479615,Buy
8422,1617356460090000,609764900.0,61019.173543000004,Buy
8631,1617356520810000,610110100.0000001,61053.71770700001,Buy
8876,1617356580230000,609739000.0,61016.58172999999,Buy
9106,1617356640245000,609828599.9999999,61025.54800199999,Buy
9385,1617356700465000,609879599.9999996,61030.651571999966,Buy
9604,1617356760112000,609600000.0,61002.672,Buy
9835,1617356820386000,609858400.0,61028.53008800001,Buy
10059,1617356880054000,610568275.0,61099.56727925,Buy
10241,1617356940018000,610230000.0,61065.7161,Buy
10426,1617357000157000,610483349.9999999,61091.068834499994,Buy
10594,1617357060394000,610576299.9999999,61100.37034099999,Buy
10735,1617357121099000,610411600.0,61083.888812,Buy
10935,1617357180373000,609934999.9999999,61036.19544999999,Buy
11056,1617357241699000,610195000.0,61062.21365,Buy
11185,1617357300158000,610149999.9999999,61057.710499999994,Buy
11319,1617357360347000,609889999.9999999,61031.692299999995,Buy
11512,1617357420551000,610214380.0000001,61064.15300660001,Buy
11632,1617357480482000,610211290.0000007,61063.843790300074,Buy
11707,1617357540042000,610197215.0,61062.43530505,Buy
